"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC0"
"License URL","https://creativecommons.org/publicdomain/zero/1.0/"
"Documentation URL","http://paleobiodb.org/data1.2/specs/measurements_doc.html"
"Data URL","http://paleobiodb.org/data1.2/specs/measurements.csv?datainfo&rowcount&base_name=Bivalvia,%20Gastropoda,%20Brachiopoda&interval=Cenozoic"
"Access Time","Fri 2025-12-12 13:55:29 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Bivalvia, Gastropoda, Brachiopoda"
"","interval","Cenozoic"
"","timerule","major"
"","taxon_status","all"
"Elapsed Time","1.18"
"Records Found","6076"
"Records Returned","6076"
"Records:"
"measurement_no","specimen_no","record_type","n_measured","position","measurement_type","average","min","max"
"23183","11510","mea","1","","height","8","",""
"23184","11510","mea","1","","length","9.5","",""
"23185","11511","mea","1","","height","10.5","",""
"23186","11511","mea","1","","length","12","",""
"23187","11512","mea","1","","height","17","",""
"23188","11512","mea","1","","length","26","",""
"23189","11512","mea","1","","width","5.5","",""
"23190","11513","mea","1","","height","14.25","",""
"23191","11513","mea","1","","length","23","",""
"23192","11513","mea","1","","width","4","",""
"23193","11514","mea","1","","height","84.3","",""
"23194","11514","mea","1","","length","57.1","",""
"23195","11515","mea","1","","height","59.6","",""
"23196","11516","mea","1","","length","18.1","",""
"23197","11516","mea","1","","height","19.1","",""
"23198","11517","mea","1","","length","63.1","",""
"23199","11517","mea","1","","height","69.6","",""
"23200","11518","mea","1","","length","50.6","",""
"23201","11518","mea","1","","height","54.1","",""
"23202","11519","mea","1","","width","19.0","",""
"23203","11519","mea","1","","length","39.2","",""
"23204","11519","mea","1","","height","37.2","",""
"23205","11520","mea","1","","length","30.6","",""
"23206","11520","mea","1","","height","26.5","",""
"23207","11521","mea","1","","width","7.9","",""
"23208","11521","mea","1","","height","15.6","",""
"23233","11534","mea","1","","length","7","",""
"23234","11534","mea","1","","width","7","",""
"23235","11535","mea","1","","height","14","",""
"23236","11535","mea","1","","length","32","",""
"23237","11535","mea","1","","width","14","",""
"23246","11540","mea","1","","length","12","",""
"23247","11540","mea","1","","width","13.5","",""
"23252","11543","mea","1","","length","50","",""
"23253","11543","mea","1","","width","25","",""
"23254","11544","mea","1","","width","31","",""
"23255","11544","mea","1","","length","45","",""
"23256","11545","mea","1","","width","50","",""
"23257","11545","mea","1","","length","81","",""
"23262","11548","mea","1","","length","37","",""
"23263","11548","mea","1","","width","20","",""
